DATE,PPIACO
01/01/1913,12.1
01/02/1913,12
01/03/1913,12
01/04/1913,12
01/05/1913,11.9
01/06/1913,11.9
01/07/1913,12
01/08/1913,12
01/09/1913,12.2
01/10/1913,12.2
01/11/1913,12.1
01/12/1913,11.9
01/01/1914,11.8
01/02/1914,11.8
01/03/1914,11.7
01/04/1914,11.7
01/05/1914,11.6
01/06/1914,11.6
01/07/1914,11.6
01/08/1914,12
01/09/1914,12.1
01/10/1914,11.7
01/11/1914,11.7
01/12/1914,11.6
01/01/1915,11.8
01/02/1915,11.8
01/03/1915,11.8
01/04/1915,11.8
01/05/1915,11.9
01/06/1915,11.8
01/07/1915,11.9
01/08/1915,11.8
01/09/1915,11.8
01/10/1915,12.1
01/11/1915,12.3
01/12/1915,12.8
01/01/1916,13.3
01/02/1916,13.5
01/03/1916,13.9
01/04/1916,14.1
01/05/1916,14.2
01/06/1916,14.3
01/07/1916,14.4
01/08/1916,14.7
01/09/1916,15
01/10/1916,15.7
01/11/1916,16.8
01/12/1916,17.1
01/01/1917,17.6
01/02/1917,18
01/03/1917,18.5
01/04/1917,19.7
01/05/1917,20.8
01/06/1917,21
01/07/1917,21.2
01/08/1917,21.5
01/09/1917,21.3
01/10/1917,21.1
01/11/1917,21.2
01/12/1917,21.2
01/01/1918,21.6
01/02/1918,21.1
01/03/1918,21.8
01/04/1918,22.1
01/05/1918,22.1
01/06/1918,22.2
01/07/1918,22.7
01/08/1918,23.2
01/09/1918,23.7
01/10/1918,23.5
01/11/1918,23.5
01/12/1918,23.5
01/01/1919,23.2
01/02/1919,22.4
01/03/1919,22.6
01/04/1919,22.9
01/05/1919,23.3
01/06/1919,23.4
01/07/1919,24.3
01/08/1919,24.9
01/09/1919,24.3
01/10/1919,24.4
01/11/1919,24.9
01/12/1919,26
01/01/1920,27.2
01/02/1920,27.1
01/03/1920,27.3
01/04/1920,28.5
01/05/1920,28.8
01/06/1920,28.7
01/07/1920,28.6
01/08/1920,27.8
01/09/1920,26.8
01/10/1920,24.9
01/11/1920,23
01/12/1920,20.8
01/01/1921,19.6
01/02/1921,18.1
01/03/1921,17.7
01/04/1921,17
01/05/1921,16.6
01/06/1921,16.1
01/07/1921,16.1
01/08/1921,16.1
01/09/1921,16.1
01/10/1921,16.2
01/11/1921,16.2
01/12/1921,16
01/01/1922,15.7
01/02/1922,16
01/03/1922,16
01/04/1922,16.1
01/05/1922,16.6
01/06/1922,16.6
01/07/1922,17.1
01/08/1922,17
01/09/1922,17.1
01/10/1922,17.2
01/11/1922,17.3
01/12/1922,17.3
01/01/1923,17.6
01/02/1923,17.8
01/03/1923,18
01/04/1923,17.9
01/05/1923,17.5
01/06/1923,17.3
01/07/1923,17
01/08/1923,16.9
01/09/1923,17.2
01/10/1923,17.1
01/11/1923,17
01/12/1923,16.9
01/01/1924,17.2
01/02/1924,17.2
01/03/1924,17
01/04/1924,16.7
01/05/1924,16.5
01/06/1924,16.4
01/07/1924,16.5
01/08/1924,16.7
01/09/1924,16.7
01/10/1924,16.9
01/11/1924,17.1
01/12/1924,17.5
01/01/1925,17.7
01/02/1925,17.9
01/03/1925,17.9
01/04/1925,17.5
01/05/1925,17.5
01/06/1925,17.7
01/07/1925,18
01/08/1925,17.9
01/09/1925,17.8
